City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Sungairaya,100,ID,1556051946,74,0.7,108.9,302.612,3.43
Mandera,93,ET,1556051946,53,3.94,41.86,304.312,4.02
Rikitea,49,PF,1556051946,85,-23.12,-134.97,299.512,5.22
Cidreira,32,BR,1556051946,76,-30.17,-50.22,294.412,6
San Quintin,1,PH,1556051947,79,17.54,120.52,298.712,1.02
Vaini,9,IN,1556051947,72,15.34,74.49,298.212,0.93
Carnarvon,7,ZA,1556051947,67,-30.97,22.13,286.112,3.24
Mataura,97,NZ,1556050806,85,-46.19,168.86,284.26,2.36
Chuy,100,UY,1556051947,71,-33.69,-53.46,291.612,4.5
Port Lincoln,55,AU,1556051947,78,-34.72,135.86,290.112,3.76
Grand Gaube,20,MU,1556051641,83,-20.01,57.66,298.15,2.93
Pisco,0,PE,1556051457,30,-13.71,-76.2,297.04,4.1
Greenfield,1,US,1556051946,49,42.59,-72.6,297.04,2.8
Lagoa,20,PT,1556051822,67,37.14,-8.45,287.15,7.7
Albany,75,US,1556051941,35,42.65,-73.75,298.15,3.1
Hobart,75,AU,1556051839,87,-42.88,147.33,283.15,2.1
Ushuaia,0,AR,1556049600,53,-54.81,-68.31,283.15,2.1
Xining,82,CN,1556051950,48,36.62,101.77,282.112,1.59
North Bend,90,US,1556051722,82,43.41,-124.22,297.59,5.1
Busselton,0,AU,1556051793,66,-33.64,115.35,287.59,8.37
Vardo,1,US,1556051946,28,39.62,-77.74,302.15,5.1
Malanje,35,AO,1556051950,87,-9.54,16.35,293.512,0.64
Haines Junction,0,CA,1556051950,24,60.75,-137.51,271.812,5.52
Novoagansk,65,RU,1556051951,90,61.94,76.66,262.912,3.94
Dakar,20,SN,1556049600,82,14.69,-17.45,294.15,8.2
Hermanus,29,ZA,1556051440,92,-34.42,19.24,290.93,2.68
Coquimbo,75,CL,1556049600,72,-29.95,-71.34,288.15,4.6
Tuatapere,88,NZ,1556050806,85,-46.13,167.69,284.26,7.71
Barra do Bugres,100,BR,1556051951,84,-15.07,-57.19,300.512,1.25
Hithadhoo,75,MV,1556051951,82,-0.6,73.08,302.212,6.64
Tautira,75,PF,1556051583,66,-17.73,-149.15,304.15,2.6
Cape Town,20,ZA,1556051764,72,-33.93,18.42,291.15,6.7
Punta Arenas,40,CL,1556051587,61,-53.16,-70.91,283.15,5.7
Ribeira Grande,40,PT,1556049600,82,38.52,-28.7,289.15,8.7
Kulu,22,CD,1556051952,49,3.47,23.69,299.512,0.26
Hasaki,75,JP,1556051523,93,35.73,140.83,290.37,2.6
Santiago del Estero,89,AR,1556051866,75,-27.8,-64.26,290.712,2.78
Tuktoyaktuk,75,CA,1556049600,79,69.44,-133.03,266.15,15.4
Wilmington,1,US,1556051863,36,39.75,-75.55,299.82,2.6
Tessalit,0,ML,1556051952,13,20.2,1.01,304.412,4.59
Severo-Kurilsk,76,RU,1556051953,94,50.68,156.12,273.212,3.74
Hobyo,93,SO,1556051953,70,5.35,48.53,301.812,4.79
Mayo,90,CA,1556050080,86,63.59,-135.9,274.15,3.1
Husavik,100,CA,1556052010,28,50.56,-96.99,289.82,2.24
Kahului,40,US,1556051748,51,20.89,-156.47,301.15,8.7
Kapaa,90,US,1556051917,74,22.08,-159.32,299.15,7.7
Bluff,99,AU,1556052019,83,-23.58,149.07,294.512,7.39
Hami,0,CN,1556052019,35,42.84,93.51,288.312,1.05
New Norfolk,75,AU,1556051839,87,-42.78,147.06,283.15,2.1
Dikson,100,RU,1556052019,93,73.51,80.55,252.212,12.19
Formosa do Rio Preto,48,BR,1556052019,72,-11.04,-45.19,298.012,1.73
Katobu,92,ID,1556052019,95,-4.94,122.53,297.712,1.19
Nago,75,IT,1556052010,87,45.88,10.89,288.15,4.1
Tadine,2,NC,1556052020,77,-21.55,167.88,297.912,8.72
Fairbanks,90,US,1556051724,92,64.84,-147.72,273.15,5.7
Shelburne,90,CA,1556051923,93,44.08,-80.2,287.59,6.2
Thompson,90,CA,1556049600,70,55.74,-97.86,281.15,4.6
Huadian,100,CN,1556052020,24,42.97,126.75,283.812,6.59
East London,99,ZA,1556052020,93,-33.02,27.91,290.112,6.34
Mareeba,0,AU,1556052018,83,-16.99,145.42,297.15,4.1
Ostrovnoy,97,RU,1556052021,92,68.05,39.51,277.112,7.04
Narsaq,98,GL,1556049000,92,60.91,-46.05,271.15,7.7
Sambava,100,MG,1556052021,99,-14.27,50.17,295.412,1.25
Sibolga,100,ID,1556052021,73,1.74,98.78,301.812,3.94
Hakodate,99,JP,1556052021,77,41.8,140.75,282.212,2.43
Robore,75,BO,1556049600,62,-18.33,-59.76,305.15,0.59
Mecca,0,SA,1556052022,41,21.43,39.83,299.312,4.41
Qabaqcol,75,AZ,1556049600,87,41.72,46.26,279.15,3.1
Lima,0,PE,1556051528,73,-12.06,-77.04,297.15,3.6
Provideniya,99,RU,1556052022,77,64.42,-173.23,265.012,4.59
Kodiak,90,US,1556051610,76,39.95,-94.76,288.15,2.6
Nanortalik,98,GL,1556052023,69,60.14,-45.24,269.012,10.72
Vyazemskiy,100,RU,1556052023,55,47.53,134.76,282.812,4.84
Margate,75,AU,1556051839,87,-43.03,147.26,283.15,2.1
Mar del Plata,0,AR,1556052023,28,-46.43,-67.52,286.412,1.9
Sechura,1,PE,1556052023,73,-5.56,-80.82,297.212,6.67
Avarua,100,CK,1556049600,65,-21.21,-159.78,298.15,3.1
Caravelas,28,BR,1556052023,76,-17.73,-39.27,299.912,2.7
Atuona,1,PF,1556052024,73,-9.8,-139.03,302.112,6.45
Murmashi,70,RU,1556049600,90,68.82,32.82,277.15,1
Castro,0,CL,1556049600,55,-42.48,-73.76,289.15,4.6
Bredasdorp,100,ZA,1556051401,82,-34.53,20.04,291.15,4.6
Larkana,0,PK,1556052025,31,27.56,68.21,308.112,5.87
Jamestown,0,AU,1556052025,59,-33.21,138.6,285.412,1.41
Half Moon Bay,40,US,1556051808,53,37.46,-122.43,304.82,1.5
Paamiut,97,GL,1556052025,62,61.99,-49.67,266.812,9.09
La Rioja,0,AR,1556052025,59,-29.41,-66.86,288.512,3.85
Ponta do Sol,42,BR,1556052026,81,-20.63,-46,294.512,0.45
Aljezur,96,PT,1556051822,88,37.31,-8.8,285.93,1.34
Souillac,100,FR,1556052046,87,45.6,-0.6,287.15,3.6
Brae,42,GB,1556049000,71,60.4,-1.35,283.15,10.3
Assiniboia,47,CA,1556052091,30,49.63,-105.99,292.912,3.51
Abong Mbang,40,CM,1556052091,95,3.98,13.18,295.612,1.41
Goderich,100,CA,1556051751,94,43.74,-81.71,279.26,0.45
Lewiston,30,US,1556052067,81,44.1,-70.21,284.26,6.2
Guerrero Negro,0,MX,1556052092,86,27.97,-114.04,288.712,5.68
Kaitangata,97,NZ,1556052032,83,-46.28,169.85,285.37,0.89
Ilhabela,72,BR,1556051907,81,-23.78,-45.36,297.912,1.04
Beringovskiy,0,RU,1556052092,77,63.05,179.32,261.512,2.21
Saskylakh,100,RU,1556052092,94,71.97,114.09,268.312,3.74
Port Blair,77,IN,1556051843,72,11.67,92.75,302.812,2.26
Yellowknife,90,CA,1556051565,56,62.45,-114.38,280.15,2.1
Arlit,100,NE,1556052093,25,18.74,7.39,301.412,4.67
Barrow,23,AR,1556052093,41,-38.31,-60.23,292.612,1.08
Upernavik,100,GL,1556052093,93,72.79,-56.15,258.512,4.36
Lasa,20,CY,1556051472,71,34.92,32.53,288.15,3.1
Kalemie,100,CD,1556052093,92,-5.95,29.2,292.712,0.87
Bara,100,NG,1556052094,38,10.41,10.6,306.312,2.13
Garden City,1,US,1556052092,52,40.73,-73.63,297.59,5.1
Cherskiy,53,RU,1556052094,75,68.75,161.3,267.512,5.24
Neuquen,0,AR,1556049600,49,-38.95,-68.06,293.15,5.7
Kavieng,45,PG,1556052094,74,-2.57,150.8,301.812,2.89
Lebu,100,ET,1556052095,78,8.96,38.73,289.212,0.79
